Date,Site,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,L,3000,Athyrium subtriangulare,Athyrium_subtriangulare,2,1,5.4854,0.0616,1,0.0326,1,0.496,0.394,0.441,,,,,168.2638037,0.529220779,
20150820,L,3000,Athyrium subtriangulare,Athyrium_subtriangulare,2,2,2.6326,0.0256,1,0.0167,1,0.24,0.345,0.218,,,,,157.6407186,0.65234375,
20150820,L,3000,Athyrium subtriangulare,Athyrium_subtriangulare,2,3,3.0637,0.0312,1,0.0178,1,0.462,0.379,0.36,,,,,172.1179775,0.570512821,
20150820,L,3000,Athyrium subtriangulare,Athyrium_subtriangulare,2,4,2.4808,0.0277,1,0.0153,1,0.388,0.299,0.461,,,,,162.1437908,0.55234657,
20150820,L,3000,Athyrium subtriangulare,Athyrium_subtriangulare,2,5,2.852,0.0368,1,0.0176,1,0.411,0.319,0.393,,,,,162.0454545,0.47826087,
20150820,L,3000,Bistorta macrophylla,Bistorta_macrophyllerm,1,1,5.5657,0.051,2,0.026,2,0.309,0.14,0.261,0.14,,,,214.0653846,0.509803922,
20150820,L,3000,Bistorta macrophylla,Bistorta_macrophyllerm,1,2,6.369,0.052,2,0.031,2,0.339,0.336,0.128,0.14,,,,205.4516129,0.596153846,
20150820,L,3000,Bistorta macrophylla,Bistorta_macrophyllerm,1,3,6.4233,0.093,2,0.03,2,0.42,0.48,0.197,0.221,,,,214.11,0.322580645,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,1,1,9.256,0.0684,1,0.0552,1,0.526,0.198,0.221,,,,,167.6811594,0.807017544,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,1,2,10.0072,0.0632,1,0.0506,1,0.5,0.328,0.199,,,,,197.770751,0.800632911,
